match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
South Africa Vs England,England,Reece Topley,4,0,23,0,5.75,8,1,0,2,0,T20I # 2712
South Africa Vs England,England,Moeen Ali,3,0,25,1,8.33,6,2,1,0,0,T20I # 2712
South Africa Vs England,England,Jofra Archer,4,0,40,3,10.00,10,3,3,1,0,T20I # 2712
South Africa Vs England,England,Sam Curran,3,0,29,0,9.66,7,1,2,1,0,T20I # 2712
South Africa Vs England,England,Adil Rashid,4,0,20,1,5.00,9,1,0,0,0,T20I # 2712
South Africa Vs England,England,Mark Wood,2,0,22,0,11.00,4,4,0,2,0,T20I # 2712
South Africa Vs England,South Africa,Marco Jansen,4,0,31,0,7.75,9,2,1,0,1,T20I # 2712
South Africa Vs England,South Africa,Kagiso Rabada,4,0,32,2,8.00,9,3,1,2,0,T20I # 2712
South Africa Vs England,South Africa,Keshav Maharaj,4,0,25,2,6.25,9,2,0,0,0,T20I # 2712
South Africa Vs England,South Africa,Ottneil Baartman,3,0,27,1,9.00,7,3,1,0,0,T20I # 2712
South Africa Vs England,South Africa,Anrich Nortje,4,0,35,1,8.75,4,4,0,1,0,T20I # 2712
South Africa Vs England,South Africa,Aiden Markram,1,0,4,0,4.00,2,0,0,0,0,T20I # 2712
Canada Vs Ireland,Ireland,Mark Adair,4,0,23,1,5.75,10,2,0,1,0,T20I # 2644
Canada Vs Ireland,Ireland,Josh Little,4,0,37,0,9.25,6,4,0,2,0,T20I # 2644
Canada Vs Ireland,Ireland,Craig Young,4,0,32,2,8.00,13,3,2,1,0,T20I # 2644
Canada Vs Ireland,Ireland,Barry McCarthy,4,0,24,2,6.00,12,4,0,0,0,T20I # 2644
Canada Vs Ireland,Ireland,Gareth Delany,2,0,10,1,5.00,5,0,0,0,0,T20I # 2644
Canada Vs Ireland,Ireland,Curtis Campher,2,0,11,0,5.50,4,0,0,1,0,T20I # 2644
Canada Vs Ireland,Canada,Kaleem Sana,4,0,38,0,9.50,11,4,1,3,0,T20I # 2644
Canada Vs Ireland,Canada,Jeremy Gordon,4,0,16,2,4.00,14,1,0,1,0,T20I # 2644
Canada Vs Ireland,Canada,Junaid Siddiqui,4,0,27,1,6.75,9,1,1,0,0,T20I # 2644
Canada Vs Ireland,Canada,Saad Bin Zafar,4,0,22,1,5.50,7,0,0,0,0,T20I # 2644
Canada Vs Ireland,Canada,Dilon Heyliger,4,0,18,2,4.50,12,1,0,1,0,T20I # 2644
