name,team,battingStyle,bowlingStyle,playingRole,description
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,"Top-order batter Ibrahim Zadran is among Afghanistan's most consistent performers, and young enough to have made his Test debut (in the team's third ever match) before he played a white-ball international. He made 87 in that match in Chattogram, a big, historic win over Bangladesh. "
Najmul Hossain Shanto(c),Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,"Although he made his debut in 2017, and scored two Test hundreds in 2021, it took Najmul Hossain Shanto more than five years to truly establish himself in the Bangladesh side. But once he did, he was rewarded by being appointed Bangladesh's captain in all three formats. "
Towhid Hridoy,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter,"Towhid Hridoy could be the next big batting mainstay for Bangladesh. His 918 runs across formats in 2023, his first year in international cricket, gave the team management a strong option, especially amid a long overall batting struggle from the rest of the line-up in the same period.  "
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Tanzim Hasan Sakib was Bangladesh's best-performing fast bowler in the T20 World Cup in 2024. He took 11 wickets at an average of 13.54, with a career-best bowling performance of 4 for 7 against Nepal. Tanzim bowled with pace, extracting seam or swing offered by conditions and the mostly favourable pitches in the USA and the West Indies. He was so good at the World Cup that the Bangladesh team management couldn't use Shoriful Islam for even one match after Tanzim had replaced the in-form left-arm quick at the start of the tournament."
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. "
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Batting Allrounder,"A rarity among Bangladesh allrounders, top-order batter Soumya Sarkar bowls medium pace rather than spin, and occasionally even takes the new ball. "
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Litton Das made his way into the Bangladesh senior sides following his exploits for Abahani in the Dhaka Premier League, and Rangpur Division in the National Cricket League in 2014-15, where he was the top scorer. "
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Mahmudullah,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"Allrounder Mahmudullah, a middle-order batter who bowls useful offspin and is one of Bangladesh's best fielders of all time, grew into one of the five pillars of the country's set-up in their post-2010 period of growth and relative success. He is in the modern group of allrounders who have aggregated 10,000 runs, 100 wickets and 100 catches in international cricket across formats."
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Rashid Khan(c),Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,"A feisty fast bowler with a wide range of slower-ball variations, Naveen-ul-Haq first rose to prominence as a death-overs specialist, but soon developed his new-ball skills to become a useful weapon across phases. Like many of his compatriots, he is an in-demand commodity in franchise leagues across the world.
Born in Kabul, Naveen fled with his family to Pakistan in his early years, and began playing tape-ball cricket there. When they returned to Afghanistan, he began playing with a leather ball for the first time. He was so impressive for Afghanistan's Under-16 and Under-19 teams that his first professional match at the senior level was his ODI debut against Bangladesh, just two days after he turned 17.
Naveen made seven sporadic ODI appearances from his debut to January 2021, and a year later he took a break from the format to focus on the 2022 T20 World Cup. In the meantime, he became an integral part of Afghanistan's T20I side, either side of captaining Afghanistan to a fourth-place finish at the 2018 Under-19 World Cup.
Stints at the BPL, CPL, LPL and the T20 Blast followed as he began to build his reputation. In 2023, Naveen announced he would retire from ODIs after the World Cup that year. He took eight wickets as Afghanistan put in an impressive display in the competition, finishing sixth on the table.
By then, he had made his IPL debut as well, taking 11 wickets in his first season for Lucknow Super Giants, and was also in the news for an on-field altercation with Virat Kohli.
Towards the end of 2024, Naveen along with team-mates Fazalhaq Farooqi and Mujeeb-ur-Rahman got in trouble with the Afghanistan Cricket Board after they asked to be released from their central contracts so they could sign up for more franchise leagues. The board responded by revoking the players' NOCs and denying them further NOCs for the next two years. The situation was resolved with the board agreeing to grant them a limited number of NOCs and slapping them with financial penalties.
Naveen returned 14 wickets in IPL 2024, but it was in the T20 World Cup that year that he really shone. Naveen and Farooqi combined to take the spotlight away from Afghanistan's spinners as they made the semi-finals of a World Cup for the first time. Naveen finished the tournament with 13 wickets, and his three-wicket burst was one of the highlights of Afghanistan's first-ever victory over Australia in any format."
Aryan Dutt,Netherlands,Right hand Bat,Right arm Offbreak,Bowler,
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff"
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,
Sybrand Engelbrecht,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder,"Long before he turned out in Dutch orange, allrounder Sybrand Engelbrecht stole the spotlight with a stunning two-handed, diving catch at point for South Africa during the 2008 Under-19 World Cup in Malaysia  - headlined on YouTube as 'the Best ever catch in cricket history'. But Engelbrecht struggled to take his sensational fielding into other aspects of his game. The bulk of his career was spent trying to become a franchise regular at Cape Cobras, where he often had to settle for a place in the provincial side instead.  "
Michael Levitt,Netherlands,Right hand Bat,Right arm Medium,Top order Batter,
Ravindra Jadeja,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Afghanistan's ascent up the global rankings from ICC Associate nation to Full Member and Test status has been largely propelled by a conveyor belt of fast bowling and mystery spin. But the country has struggled to unearth quality batting prospects at the same rate as their bowling unit. The emergence of the hard-hitting Hazratullah Zazai is a sign that this may change early in the country's Full Member era.
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,
Rohit Sharma(c),India,Right hand Bat,Right arm Offbreak,Top order Batter,
Rishabh Pant,India,Left hand Bat,Bat,Wicketkeeper Batter,
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler,
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,
Shivam Dube,India,Left hand Bat,Right arm Medium,Allrounder,"A tall pace-bowling allrounder from the suburbs of Mumbai who started in the city's robust school cricket circuit, Shivam Dube shot to limelight in domestic cricket and the IPL with his almost unparallel six-hitting ability, especially against spin."
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill"
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Gudakesh Motie,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,
Aaron Jones(c),U.S.A.,Right hand Bat,Legbreak Googly,Top order Batter,"Aaron Jones grew up playing alongside Shai Hope and Jason Holder and against Nicholas Pooran and Rovman Powell. He made his List-A debut for Barbados in January 2016 before representing them in first-class cricket the following year. By 2018, though, he had switched to playing for USA. Jones, who was born in Queens in New York, quickly became a mainstay in the USA team. His maiden List-A century against Namibia in the WCL Division 2 in 2019 helped USA earn the side ODI status during that competition."
Andries Gous,U.S.A.,Right hand Bat,Bat,Wicketkeeper Batter,
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm fingerspinner known for his relentless accuracy, Hosein is thrifty while also retaining the ability to take wickets - which makes him a valuable T20 asset, especially in the powerplay. He played a vital role in Trinbago Knight Riders' CPL win in 2020, taking ten wickets at an economy of 5.5 from seven matches. A few months later, at 27, he got his break in international cricket when several senior West Indies players opted out of a tour of Bangladesh due to Covid-19 concerns. Hosein took three wickets on ODI debut. "
Roston Chase,West Indies,Right hand Bat,Right arm Offbreak,Allrounder,"A tall offspin-bowling allrounder from Barbados, Roston Chase won a place in West Indies' Test team after strong showings with bat and ball in the 2015-16 Professional Cricket League. He scored 710 runs in ten matches at an average of 59.16, bowled more than he ever had in the past, and took 23 wickets at an average of 17.26 (including twin five-fors in a match against Guyana)."
Andre Russell,West Indies,Right hand Bat,Right arm Fast,Allrounder,
Corey Anderson,U.S.A.,Left hand Bat,Left arm Medium fast,Batting Allrounder,"Corey Anderson had always been known for his powerful striking, but he took it to a new level on New Year's Day 2014 when he set what was then the world record for the fastest ODI hundred with a 36-ball blitzkrieg against West Indies in Queenstown. It came at a time, a few months after he scored a century in his second Test, that Anderson was suggesting he was ready to fulfill the potential spotted in him as a teenager."
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Nosthush Kenjige,U.S.A.,Right hand Bat,Slow Left arm Orthodox,Bowler,
Harmeet Singh,U.S.A.,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"Delivering with a still head, equipped with a loopy delivery, strapped with a big heart to flight the ball, Harmeet Singh attracted instant praise from coaches and players alike. The former Indian batting stalwart Dilip Sardesai compared Harmeet to his contemporary and spin legend Bishen Bedi the first time he witnessed the Mumbai youngster in action. By 19, Harmeet had featured in two Under-19 World Cups. In his first attempt, in 2010, he proved far too expensive for the team management to retain him in the team regularly. Hungry and resilient to prove his worth two years later, his economy rate of 3.02 was one of the best, despite him missing a couple of matches due to being sick. Importantly, he was one of the main pillars of India winning the title. "
Rovman Powell(c),West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,
Assad Vala,P.N.G.,Left hand Bat,Right arm Offbreak,Batter,
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,
Kenneth Waiswa,Uganda,Right hand Bat,Right arm Medium,Allrounder,
Hiri Hiri,P.N.G.,Right hand Bat,Right arm Offbreak,Middle order Batter,
Juma Miyagi,Uganda,Right hand Bat,Right arm Medium fast,Bowler,
Alpesh Ramjani,Uganda,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Simon Ssesazi,Uganda,Left hand Bat,Right arm Slow,Wicketkeeper Batter,
Assad Vala(c),P.N.G.,Left hand Bat,Right arm Offbreak,Batter,
Alei Nao,P.N.G.,Right hand Bat,Right arm Medium,Bowler,
Lega Siaka,P.N.G.,Right hand Bat,"Right arm Fast medium, Legbreak",Opening Batter,"
Batter Lega Siaka was part of the side that played Papua New Guinea's very first ODI, after they got status in the format in 2014 following their fourth-place finish in the World Cup Qualifier that year. In the next game, Siaka anchored a chase of 262 with a hundred, putting on a partnership of 65 with former England keeper Geraint Jones, who played for PNG in the 2010s."
Frank Nsubuga,Uganda,Right hand Bat,Right arm Offbreak,Allrounder,"An offspinning allrounder whose swashbuckling knocks in the lower middle order complement his miserly bowling, Frank Nsubuga made his international debut playing for East and Central Africa in the 1997 ICC Trophy, aged just 16. He soon established his place in the national side, making his first-class debut against Namibia in the Intercontinental Cup in 2004 and earning himself a Man of the Match award as Uganda won by five wickets. Nsubuga steered his team to victory in the World Cricket League final against Argentina three years later, starring with both bat and ball, and has since settled into his role as a senior player for Uganda across all formats.
Liam Brickhill May 2011 "
Dinesh Nakrani,Uganda,Left hand Bat,Left arm Medium,Allrounder,"Allrounder Dinesh Nakrani played an important role in Uganda's historic qualification for the 2024 T20 World Cup, first taking three wickets in the win over Zimbabwe and scoring an unbeaten 40 off 23 balls against Kenya in the Africa Region Qualifier. Nakrani began his career in age-group cricket for Saurashtra, in India, and qualified for Uganda in 2018. That same year he top-scored in the T20 World Cup Africa Region Qualifier B with 320 runs at a strike rate of 189, including scoring 102 not out off 50 balls against Kenya. In another regional qualifier, in 2021, Nakrani took a bagful of wickets - 21 at an average of 3.4, including 6 for 7 against Lesotho and 5 for 18 against Seychelles. However, in the main event in 2024, Nakrani played only one match and was out for a duck.  "
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,"A tall, accurate fast bowler who is unrelenting in his line and length, Josh Hazlewood became a fixture in Australia's Test attack as soon as he made his debut in 2014 and went on to enjoy success across formats, taking just under 500 international wickets in his first dozen years in the game - despite a handful of injury-enforced layoffs. "
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Legbreak,Allrounder,
Aasif Sheikh,Nepal,Right hand Bat,Bat,Wicketkeeper Batter,
Karan KC,Nepal,Right hand Bat,Right arm Fast,Allrounder,"Broad-shouldered, barrel-chested fast bowler Karan KC has been incisive for Nepal through their brief history as an international cricket team, in a variety of conditions both at home and away, and no other pace bowler has produced more five-wicket hauls in both List A and T20 cricket. His consistency as a wicket-taker has made Nepal far less reliant on their spinners to produce winning results."
Rohit Paudel(c),Nepal,Right hand Bat,Right arm Offbreak,Batting Allrounder,"A solid top-order batter and leader, Rohit Paudel has been the face of Nepal cricket at a time of unprecedented success in the post-Covid era. Paudel was just shy of 16 when he made his ODI debut, and in his third game became the then youngest batter to record an ODI fifty. He was also just 20 years and 73 days of age when he was named captain of the ODI side, the second youngest in the history of the format."
Anil Sah,Nepal,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Abinash Bohara,Nepal,Right hand Bat,Right arm Medium,Bowler,
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,
Nikolaas Davin,Namibia,Right hand Bat,Legbreak,Batter,
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,"A reliable middle-order batter and a handy offspinner, Gerhard Erasmus has been a key figure in Namibia's rise in the 2020s. "
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"David Wiese joined a marked outflow of South Africa players into county cricket in the 2016-17 season when, at 31, he signed a three-year deal with Sussex, joining his compatriot Stiaan van Zyl. Wiese had not played international cricket since March 2016, and turned down a call-up for a home T20I series against Sri Lanka in making his decision to go Kolpak. "
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali, known fondly as ""the beard that's feared"" at New Road, started out as something of a batting prodigy but it was his offspin that got him his place in the England side after the retirement of Graeme Swann. Fittingly then, it was as an allrounder that he found success."
Gerhard Erasmus(c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder,"A reliable middle-order batter and a handy offspinner, Gerhard Erasmus has been a key figure in Namibia's rise in the 2020s. "
Jonny Bairstow,England,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,"A left-arm seamer with a host of variations in his arsenal, Ruben Trumpelmann came through the South African domestic system, but it was the switch to Namibia that helped him rise to prominence."
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,Devon Conway IPL factfile
Romario Shepherd,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"A bowling allrounder, Romario Shepherd started for Guyana in domestic cricket with the List A format in 2016 and then first-class in 2017. But his hard-hitting batting as a finisher has instead helped him become a T20 specialist."
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Batting Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. "
Jos Buttler(c),England,Right hand Bat,Bat,Wicketkeeper Batter,
Noor Ahmad,Afghanistan,Right hand Bat,Left arm Wrist spin,Bowler,
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Rishad Hossain,Bangladesh,Right hand Bat,Legbreak Googly,Allrounder,"Rishad Hossain emerged as one of Bangladesh's best performers at the 2024 T20 World Cup - he finished equal (with Rashid Khan) on 14 wickets, in third place, which was even more impressive since he comes from a country with almost no history of fielding legspinners at the highest level."
Tanzid Hasan,Bangladesh,Left hand Bat,Bat,Opening Batter,"Tanzid Hasan pipped the likes of Mohammad Naim, Rony Talukdar and Soumya Sarkar among Bangladesh's openers who could replace Tamim Iqbal in the long term. Tanzid's nickname is also Tamim, and many have found similarities between the two, at least in their aggression at a young age. For just how long Tanzid can stay on as the first choice, depends on his consistency. "
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi has been the guiding hand that steered Afghanistan cricket from obscurity to the big stage. When he first turned out for Afghanistan in 2008, they were battling it out in Division Five of the World Cricket League. Within a decade, he had become one of the central figures in a team that earned Test status in 2017 and went on to reach a T20 World Cup semi-final in 2024."
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Karim Janat,Afghanistan,Right hand Bat,Right arm Medium,Batting Allrounder,
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next ten years he took more than 300."
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,"Allrounder Logan van Beek came to global attention when he single-handedly ensured West Indies would not make it to the ODI World Cup for the first time in their history. In the Qualifier tournament in Zimbabwe in June 2022, he first lashed 28 off 14 balls to tie the scores in a chase of 374, then smacked three sixes and as many fours off Jason Holder in the Super Over, and sealed the deal with two wickets when West Indies batted."
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium,Opening Batter,
Vivian Kingma,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Born into one of Dutch cricket's best-known families, Bas de Leede followed in the footsteps of his father, Tim, to become a cornerstone of the Netherlands side. A seam-bowling allrounder, he debuted for the national team in 2018 at 19 and quickly became a fixture in both white-ball formats."
Shadley van Schalkwyk,U.S.A.,Left hand Bat,Right arm Medium,Allrounder,"Shadley van Schalkwyk came through as a fast-medium bowler for Eagles and Free State. A product of the famous Wynberg Boys' High School, whose alumni includes Jacques Kallis and Allan Lamb. After impressing with the bat on a tour to Pakistan with his school side in 2006, he was drafted into the South African Academy. He made his List A debut for Western Province in February 2008, and had a quiet time in his first first-class appearance nine months later. He played every game of Eagles' 2009 Pro20 series, and was part of their squad for the inaugural Champions League Twenty20 the same year."
Milind Kumar,U.S.A.,Right hand Bat,Right arm Offbreak,Allrounder,
Shai Hope,West Indies,Right hand Bat,Bat,Wicketkeeper Batter,Shai Hope made his Test debut as a 21-year-old - getting his cap from Clive Lloyd - having played just over a dozen first-class matches. 
Nitish Kumar,U.S.A.,Right hand Bat,Right arm Offbreak,Top order Batter,"A useful allrounder, Nitish Kumar played in all but one of Canada's eight matches at the 2010 Under-19 World Cup Qualifiers. He is also the youngest player to debut for Canada in a first-class match when he played in an ICC Intercontinental Cup fixture against Kenya in August 2009, and then subsequently became the second youngest ODI player in February 2010 at the age of 15 years 273 days - only eclipsed by Pakistan's Hasan Raza in 1996."
Steven Taylor,U.S.A.,Left hand Bat,Right arm Offbreak,Opening Batter,"One of the best homegrown talents in the modern generation of USA cricket, Steven Taylor's imposing physical presence makes him capable of destructive power-hitting, a rare characteristic at Associate level. "
